,Year,Week,Team,Blocks,Fumble Returns,Interception,Opponent,Pass Yards Allowed,Point After,Points,Position,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games
3389,2015.0,11,Eagles,0.0,0.8888888888888888,1.3333333333333333,Buccaneers,246.77777777777777,20.444444444444443,12.222222222222221,DST,111.33333333333333,2.5555555555555554,0.1111111111111111,358.1111111111111,0.3333333333333333,0.5555555555555556
3420,2015.0,12,Eagles,0.0,0.9,1.2,Lions,245.9,22.9,11.3,DST,128.5,2.4,0.1,374.4,0.3,0.5
3424,2015.0,13,Eagles,0.0,0.8181818181818182,1.0909090909090908,Patriots,252.8181818181818,24.90909090909091,10.454545454545455,DST,126.63636363636364,2.3636363636363638,0.09090909090909091,379.45454545454544,0.2727272727272727,0.5454545454545454
3470,2015.0,14,Eagles,0.08333333333333333,0.75,1.1666666666666667,Bills,258.75,25.166666666666668,11.916666666666666,DST,124.66666666666667,2.5,0.08333333333333333,383.4166666666667,0.5,0.5833333333333334
3517,2015.0,15,Eagles,0.07692307692307693,0.7692307692307693,1.1538461538461537,Cardinals,258.84615384615387,24.76923076923077,11.692307692307692,DST,126.76923076923077,2.3846153846153846,0.07692307692307693,385.61538461538464,0.46153846153846156,0.5384615384615384
3549,2015.0,16,Eagles,0.07142857142857142,0.7142857142857143,1.0714285714285714,Redskins,259.14285714285717,25.857142857142858,11.0,DST,134.14285714285714,2.357142857142857,0.07142857142857142,393.2857142857143,0.42857142857142855,0.5
3566,2015.0,17,Eagles,0.06666666666666667,0.6666666666666666,1.0,Giants,265.26666666666665,26.666666666666668,10.4,DST,129.66666666666666,2.3333333333333335,0.06666666666666667,394.93333333333334,0.4,0.4666666666666667
3,2016.0,1,Eagles,0.0,0.0,1.0,Browns,168.0,10.0,14.0,DST,120.0,3.0,1.0,288.0,0.0,0.0
40,2016.0,2,Eagles,0.0,0.0,1.0,Bears,168.0,10.0,14.0,DST,120.0,3.0,1.0,288.0,0.0,0.0
67,2016.0,3,Eagles,0.0,1.0,1.0,Steelers,194.0,12.0,13.5,DST,92.0,3.0,0.5,286.0,0.0,0.5
